MSSV,Student_Profile,Current_Semester,GPA_Cumulative,Total_Credits,Credits_Completed,Credits_Remaining,Completion_Rate,Average_Credits_Per_Semester,Remaining_To_OJT,Failed_Courses,Retake_Count,Missing_Prerequisite_Courses,Academic_Warning_Count,Suspension_Count,Planned_OJT_Semester,Risk_Score,Risk_Level,OJT_Delay_Risk,OJT_Eligible,OJT_Readiness,AI_Recommendation,Credit_Progress_Category,OJT_Credit_Gap,OJT_Credit_Progress,OJT_Eligibility_Gap_Category,Academic_Risk_Index,Academic_Stability,OJT_Semester_Gap,OJT_Planning_Status,Required_Average_Credits_Per_Semester,Credit_Completion_Efficiency
SE1800889,Good,7,8.25,120,115,5,95.83,16.43,0,1,0,1,0,0,8,3,Low,0,False,88.5,Complete all prerequisite courses. Retake failed courses as soon as possible.,Near_Completion,0,100.0,Eligible,2,80,1,Approaching_OJT,0.0,99.99
SE1800890,Average,3,6.98,120,46,74,38.33,15.33,54,2,4,2,0,0,6,10,Medium,0,False,37.0,Complete at least 54 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,54,46.0,Far_From_Eligible,8,20,3,Long_Term_Planning,18.0,100.0
SE1800891,AtRisk,4,5.97,120,60,60,50.0,15.0,40,3,4,3,1,0,5,16,High,1,False,30.0,Complete at least 40 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,40,60.0,Moderate_Gap,11,0,1,Approaching_OJT,40.0,100.0
SE1800892,Critical,5,3.95,120,60,60,50.0,12.0,40,5,8,3,3,2,7,24,High,1,False,0.0,Complete at least 40 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,40,60.0,Moderate_Gap,21,0,2,Moderate_Planning_Gap,20.0,100.0
SE1800893,AtRisk,4,5.52,120,59,61,49.17,14.75,41,4,4,3,2,0,5,17,High,1,False,21.5,Complete at least 41 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,41,59.0,Moderate_Gap,13,0,1,Approaching_OJT,41.0,100.0
SE1800894,Good,6,8.29,120,100,20,83.33,16.67,0,1,1,0,0,0,7,2,Low,0,True,85.0,Retake failed courses as soon as possible.,Near_Completion,0,100.0,Eligible,2,80,1,Approaching_OJT,0.0,99.98
SE1800895,Good,2,7.33,120,45,75,37.5,22.5,55,0,2,0,0,0,5,4,Low,0,False,58.5,Complete at least 55 more credits.,Developing,55,45.0,Far_From_Eligible,2,80,3,Long_Term_Planning,18.33,100.0
SE1800896,Good,8,8.01,120,114,6,95.0,14.25,0,0,0,1,0,0,8,2,Low,0,False,91.0,Complete all prerequisite courses.,Near_Completion,0,100.0,Eligible,1,90,0,OJT_Ready_Stage,0.0,100.0
SE1800897,Recovery,2,6.32,120,33,87,27.5,16.5,67,2,2,1,0,0,5,8,Medium,0,False,40.5,Complete at least 67 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Early,67,33.0,Far_From_Eligible,5,50,3,Long_Term_Planning,22.33,100.0
SE1800898,Good,4,8.03,120,70,50,58.33,17.5,30,1,2,0,0,0,6,4,Low,0,False,68.0,Complete at least 30 more credits. Retake failed courses as soon as possible.,Developing,30,70.0,Moderate_Gap,3,70,2,Moderate_Planning_Gap,15.0,100.0
SE1800899,Average,4,6.01,120,63,57,52.5,15.75,37,1,1,1,0,0,6,8,Medium,0,False,60.5,Complete at least 37 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,37,63.0,Moderate_Gap,3,70,2,Moderate_Planning_Gap,18.5,100.0
SE1800900,Good,5,8.18,120,90,30,75.0,18.0,10,1,1,1,0,0,6,5,Low,0,False,74.0,Complete at least 10 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,10,90.0,Near_Eligible,3,70,1,Approaching_OJT,10.0,100.0
SE1800901,Good,5,8.28,120,96,24,80.0,19.2,4,0,1,0,0,0,6,2,Low,0,False,86.0,Complete at least 4 more credits.,Near_Completion,4,96.0,Near_Eligible,1,90,1,Approaching_OJT,4.0,100.0
SE1800902,Average,5,6.71,120,83,37,69.17,16.6,17,1,1,0,0,0,7,5,Low,0,False,76.5,Complete at least 17 more credits. Retake failed courses as soon as possible.,Advanced,17,83.0,Near_Eligible,2,80,2,Moderate_Planning_Gap,8.5,100.0
SE1800903,AtRisk,2,5.13,120,27,93,22.5,13.5,73,5,4,1,2,0,5,16,High,1,False,14.5,Complete at least 73 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Early,73,27.0,Far_From_Eligible,12,0,3,Long_Term_Planning,24.33,100.0
SE1800904,LateStarter,4,6.56,120,72,48,60.0,18.0,28,2,5,2,0,0,6,10,Medium,0,False,48.0,Complete at least 28 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,28,72.0,Moderate_Gap,9,10,2,Moderate_Planning_Gap,14.0,100.0
SE1800905,Excellent,7,9.86,120,116,4,96.67,16.57,0,0,0,0,0,0,8,0,Low,0,True,98.0,You are ready for OJT.,Near_Completion,0,100.0,Eligible,0,100,1,Approaching_OJT,0.0,100.0
SE1800906,Average,4,6.68,120,61,59,50.83,15.25,39,1,1,0,0,0,5,6,Medium,0,False,65.5,Complete at least 39 more credits. Retake failed courses as soon as possible.,Developing,39,61.0,Moderate_Gap,2,80,1,Approaching_OJT,39.0,100.0
SE1800907,LateStarter,5,6.42,120,89,31,74.17,17.8,11,3,3,2,1,0,7,11,High,1,False,52.5,Complete at least 11 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,11,89.0,Near_Eligible,9,10,2,Moderate_Planning_Gap,5.5,100.0
SE1800908,Good,5,7.24,120,95,25,79.17,19.0,5,0,1,1,0,0,6,4,Low,0,False,79.5,Complete at least 5 more credits. Complete all prerequisite courses.,Advanced,5,95.0,Near_Eligible,2,80,1,Approaching_OJT,5.0,100.0
SE1800909,Average,3,6.63,120,55,65,45.83,18.33,45,1,3,2,0,0,5,10,Medium,0,False,46.5,Complete at least 45 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,45,55.0,Moderate_Gap,6,40,2,Moderate_Planning_Gap,22.5,100.0
SE1800910,Good,6,7.56,120,109,11,90.83,18.17,0,0,0,1,0,0,7,2,Low,0,False,88.5,Complete all prerequisite courses.,Near_Completion,0,100.0,Eligible,1,90,1,Approaching_OJT,0.0,99.98
SE1800911,Excellent,5,9.04,120,100,20,83.33,20.0,0,0,0,0,0,0,6,0,Low,0,True,90.0,You are ready for OJT.,Near_Completion,0,100.0,Eligible,0,100,1,Approaching_OJT,0.0,100.0
SE1800912,Good,7,7.56,120,109,11,90.83,15.57,0,0,0,1,0,0,8,2,Low,0,False,88.5,Complete all prerequisite courses.,Near_Completion,0,100.0,Eligible,1,90,1,Approaching_OJT,0.0,100.0
SE1800913,Average,5,6.86,120,88,32,73.33,17.6,12,3,1,0,0,0,7,5,Low,0,False,73.0,Complete at least 12 more credits. Retake failed courses as soon as possible.,Advanced,12,88.0,Near_Eligible,4,60,2,Moderate_Planning_Gap,6.0,100.0
SE1800914,Good,6,8.01,120,112,8,93.33,18.67,0,1,1,0,0,0,6,2,Low,0,True,91.0,Retake failed courses as soon as possible.,Near_Completion,0,100.0,Eligible,2,80,0,OJT_Ready_Stage,0.0,99.98
SE1800915,Average,2,6.56,120,34,86,28.33,17.0,66,1,3,2,0,0,6,10,Medium,0,False,36.0,Complete at least 66 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Early,66,34.0,Far_From_Eligible,6,40,4,Long_Term_Planning,16.5,100.0
SE1800916,Good,8,8.19,120,120,0,100.0,15.0,0,1,1,1,0,0,8,4,Low,0,False,89.0,Complete all prerequisite courses. Retake failed courses as soon as possible.,Near_Completion,0,100.0,Eligible,3,70,0,OJT_Ready_Stage,0.0,100.0
SE1800917,Average,2,6.3,120,42,78,35.0,21.0,58,2,1,2,0,0,5,9,Medium,0,False,41.0,Complete at least 58 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,58,42.0,Far_From_Eligible,5,50,3,Long_Term_Planning,19.33,100.0
SE1800918,Recovery,3,5.86,120,53,67,44.17,17.67,47,2,4,1,0,0,5,11,High,1,False,46.5,Complete at least 47 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,47,53.0,Moderate_Gap,7,30,2,Moderate_Planning_Gap,23.5,99.98
SE1800919,Average,4,6.99,120,63,57,52.5,15.75,37,2,1,2,0,0,6,9,Medium,0,False,51.5,Complete at least 37 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,37,63.0,Moderate_Gap,5,50,2,Moderate_Planning_Gap,18.5,100.0
SE1800920,AtRisk,5,5.24,120,84,36,70.0,16.8,16,5,3,3,2,0,6,17,High,1,False,33.0,Complete at least 16 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,16,84.0,Near_Eligible,13,0,1,Approaching_OJT,16.0,100.0
SE1800921,Good,4,7.2,120,73,47,60.83,18.25,27,0,1,1,0,0,6,5,Low,0,False,68.5,Complete at least 27 more credits. Complete all prerequisite courses.,Advanced,27,73.0,Moderate_Gap,2,80,2,Moderate_Planning_Gap,13.5,100.0
SE1800922,LateStarter,4,6.88,120,72,48,60.0,18.0,28,2,4,1,1,0,6,10,Medium,0,False,51.0,Complete at least 28 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,28,72.0,Moderate_Gap,8,20,2,Moderate_Planning_Gap,14.0,100.0
SE1800923,Good,5,7.85,120,91,29,75.83,18.2,9,1,2,0,0,0,6,3,Low,0,False,78.5,Complete at least 9 more credits. Retake failed courses as soon as possible.,Advanced,9,91.0,Near_Eligible,3,70,1,Approaching_OJT,9.0,100.0
SE1800924,Good,5,7.49,120,93,27,77.5,18.6,7,0,0,1,0,0,7,3,Low,0,False,80.5,Complete at least 7 more credits. Complete all prerequisite courses.,Advanced,7,93.0,Near_Eligible,1,90,2,Moderate_Planning_Gap,3.5,100.0
SE1800925,Excellent,4,8.8,120,80,40,66.67,20.0,20,0,0,0,0,0,5,2,Low,0,False,80.0,Complete at least 20 more credits.,Advanced,20,80.0,Near_Eligible,0,100,1,Approaching_OJT,20.0,100.0
SE1800926,AtRisk,3,5.47,120,41,79,34.17,13.67,59,4,5,2,1,1,5,18,High,1,False,13.5,Complete at least 59 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,59,41.0,Far_From_Eligible,13,0,2,Moderate_Planning_Gap,29.5,99.98
SE1800927,LateStarter,5,6.64,120,82,38,68.33,16.4,18,3,5,0,1,0,6,10,Medium,0,False,57.0,Complete at least 18 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,18,82.0,Near_Eligible,9,10,1,Approaching_OJT,18.0,100.0
SE1800928,Good,1,7.59,120,20,100,16.67,20.0,80,0,0,0,0,0,5,3,Low,0,False,50.0,Complete at least 80 more credits.,Early,80,20.0,Far_From_Eligible,0,100,4,Long_Term_Planning,20.0,100.0
SE1800929,Average,5,6.79,120,84,36,70.0,16.8,16,2,4,2,1,0,6,11,High,1,False,51.0,Complete at least 16 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,16,84.0,Near_Eligible,9,10,1,Approaching_OJT,16.0,100.0
SE1800930,LateStarter,6,6.33,120,103,17,85.83,17.17,0,4,2,2,0,0,7,7,Medium,0,False,63.5,Complete all prerequisite courses. Retake failed courses as soon as possible.,Near_Completion,0,100.0,Eligible,8,20,1,Approaching_OJT,0.0,99.98
SE1800931,Average,5,6.01,120,95,25,79.17,19.0,5,2,3,1,0,0,6,7,Medium,0,False,69.5,Complete at least 5 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,5,95.0,Near_Eligible,6,40,1,Approaching_OJT,5.0,100.0
SE1800932,Average,5,6.18,120,88,32,73.33,17.6,12,1,3,2,0,0,6,8,Medium,0,False,63.0,Complete at least 12 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,12,88.0,Near_Eligible,6,40,1,Approaching_OJT,12.0,100.0
SE1800933,Average,6,6.1,120,108,12,90.0,18.0,0,3,2,0,0,0,6,4,Low,0,True,81.0,Retake failed courses as soon as possible.,Near_Completion,0,100.0,Eligible,5,50,0,OJT_Ready_Stage,0.0,100.0
SE1800934,Good,1,8.48,120,19,101,15.83,19.0,81,1,0,0,0,0,6,4,Low,0,False,46.5,Complete at least 81 more credits. Retake failed courses as soon as possible.,Early,81,19.0,Far_From_Eligible,1,90,5,Long_Term_Planning,16.2,100.0
SE1800935,Average,3,6.63,120,48,72,40.0,16.0,52,1,3,1,1,0,6,11,High,1,False,44.0,Complete at least 52 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,52,48.0,Far_From_Eligible,6,40,3,Long_Term_Planning,17.33,100.0
SE1800936,Average,3,6.27,120,49,71,40.83,16.33,51,2,4,0,1,0,5,9,Medium,0,False,45.5,Complete at least 51 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,51,49.0,Far_From_Eligible,7,30,2,Moderate_Planning_Gap,25.5,100.0
SE1800937,Excellent,2,9.62,120,39,81,32.5,19.5,61,0,0,0,0,0,5,3,Low,0,False,59.5,Complete at least 61 more credits.,Developing,61,39.0,Far_From_Eligible,0,100,3,Long_Term_Planning,20.33,100.0
SE1800938,Good,4,7.5,120,69,51,57.5,17.25,31,0,2,0,0,0,6,4,Low,0,False,70.5,Complete at least 31 more credits.,Developing,31,69.0,Moderate_Gap,2,80,2,Moderate_Planning_Gap,15.5,100.0
SE1800939,AtRisk,4,5.77,120,66,54,55.0,16.5,34,5,5,1,2,0,6,17,High,1,False,32.0,Complete at least 34 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,34,66.0,Moderate_Gap,13,0,2,Moderate_Planning_Gap,17.0,100.0
SE1800940,Excellent,2,9.44,120,45,75,37.5,22.5,55,0,0,0,0,0,5,3,Low,0,False,62.5,Complete at least 55 more credits.,Developing,55,45.0,Far_From_Eligible,0,100,3,Long_Term_Planning,18.33,100.0
SE1800941,Excellent,4,9.01,120,83,37,69.17,20.75,17,0,0,0,0,0,5,2,Low,0,False,81.5,Complete at least 17 more credits.,Advanced,17,83.0,Near_Eligible,0,100,1,Approaching_OJT,17.0,100.0
SE1800942,Average,5,6.88,120,91,29,75.83,18.2,9,2,4,2,0,0,6,8,Medium,0,False,59.5,Complete at least 9 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,9,91.0,Near_Eligible,8,20,1,Approaching_OJT,9.0,100.0
SE1800943,Average,4,6.94,120,60,60,50.0,15.0,40,1,3,2,0,0,5,10,Medium,0,False,49.0,Complete at least 40 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,40,60.0,Moderate_Gap,6,40,1,Approaching_OJT,40.0,100.0
SE1800944,LateStarter,2,7.17,120,25,95,20.83,12.5,75,4,5,1,0,0,6,10,Medium,0,False,24.5,Complete at least 75 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Early,75,25.0,Far_From_Eligible,10,0,4,Long_Term_Planning,18.75,100.0
SE1800945,AtRisk,4,5.77,120,62,58,51.67,15.5,38,5,5,1,1,0,5,16,High,1,False,35.0,Complete at least 38 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,38,62.0,Moderate_Gap,12,0,1,Approaching_OJT,38.0,100.0
SE1800946,Average,5,6.01,120,94,26,78.33,18.8,6,3,3,1,0,0,7,8,Medium,0,False,66.0,Complete at least 6 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,6,94.0,Near_Eligible,7,30,2,Moderate_Planning_Gap,3.0,100.0
SE1800947,Average,3,6.05,120,48,72,40.0,16.0,52,2,1,2,0,0,5,9,Medium,0,False,44.0,Complete at least 52 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,52,48.0,Far_From_Eligible,5,50,2,Moderate_Planning_Gap,26.0,100.0
SE1800948,Good,6,7.96,120,103,17,85.83,17.17,0,0,2,0,0,0,7,1,Low,0,True,87.5,You are ready for OJT.,Near_Completion,0,100.0,Eligible,2,80,1,Approaching_OJT,0.0,99.98
SE1800949,Good,7,8.32,120,112,8,93.33,16.0,0,0,1,1,0,0,8,3,Low,0,False,88.0,Complete all prerequisite courses.,Near_Completion,0,100.0,Eligible,2,80,1,Approaching_OJT,0.0,100.0
SE1800950,Average,1,6.35,120,18,102,15.0,18.0,82,1,3,0,0,0,6,7,Medium,0,False,40.0,Complete at least 82 more credits. Retake failed courses as soon as possible.,Early,82,18.0,Far_From_Eligible,4,60,5,Long_Term_Planning,16.4,100.0
SE1800951,Critical,5,4.32,120,69,51,57.5,13.8,31,6,7,3,2,2,6,24,High,1,False,0.0,Complete at least 31 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,31,69.0,Moderate_Gap,20,0,1,Approaching_OJT,31.0,100.0
SE1800952,Average,5,6.43,120,84,36,70.0,16.8,16,2,1,1,0,0,6,7,Medium,0,False,68.0,Complete at least 16 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,16,84.0,Near_Eligible,4,60,1,Approaching_OJT,16.0,100.0
SE1800953,AtRisk,3,5.56,120,47,73,39.17,15.67,53,3,5,1,2,0,5,16,High,1,False,28.5,Complete at least 53 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,53,47.0,Far_From_Eligible,11,0,2,Moderate_Planning_Gap,26.5,99.98
SE1800954,AtRisk,5,5.19,120,72,48,60.0,14.4,28,3,6,1,2,1,6,17,High,1,False,31.0,Complete at least 28 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,28,72.0,Moderate_Gap,13,0,1,Approaching_OJT,28.0,100.0
SE1800955,AtRisk,2,5.74,120,24,96,20.0,12.0,76,5,3,2,2,0,5,17,High,1,False,9.0,Complete at least 76 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Early,76,24.0,Far_From_Eligible,12,0,3,Long_Term_Planning,25.33,100.0
SE1800956,AtRisk,5,5.64,120,69,51,57.5,13.8,31,3,4,1,2,0,6,15,High,1,False,41.5,Complete at least 31 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,31,69.0,Moderate_Gap,10,0,1,Approaching_OJT,31.0,100.0
SE1800957,AtRisk,1,5.78,120,18,102,15.0,18.0,82,5,5,3,1,0,5,18,High,1,False,1.0,Complete at least 82 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Early,82,18.0,Far_From_Eligible,14,0,4,Long_Term_Planning,20.5,100.0
SE1800958,Average,5,6.44,120,85,35,70.83,17.0,15,2,3,1,0,0,6,7,Medium,0,False,64.5,Complete at least 15 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,15,85.0,Near_Eligible,6,40,1,Approaching_OJT,15.0,100.0
SE1800959,Average,3,6.54,120,45,75,37.5,15.0,55,1,1,2,1,0,6,11,High,1,False,40.5,Complete at least 55 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,55,45.0,Far_From_Eligible,5,50,3,Long_Term_Planning,18.33,100.0
SE1800960,Good,7,7.04,120,114,6,95.0,16.29,0,1,0,1,0,0,8,3,Low,0,False,88.0,Complete all prerequisite courses. Retake failed courses as soon as possible.,Near_Completion,0,100.0,Eligible,2,80,1,Approaching_OJT,0.0,99.97
SE1800961,Recovery,5,6.49,120,89,31,74.17,17.8,11,1,3,0,0,0,6,5,Low,0,False,75.5,Complete at least 11 more credits. Retake failed courses as soon as possible.,Advanced,11,89.0,Near_Eligible,4,60,1,Approaching_OJT,11.0,100.0
SE1800962,LateStarter,3,6.28,120,45,75,37.5,15.0,55,2,4,0,0,0,5,7,Medium,0,False,48.5,Complete at least 55 more credits. Retake failed courses as soon as possible.,Developing,55,45.0,Far_From_Eligible,6,40,2,Moderate_Planning_Gap,27.5,100.0
SE1800963,Average,4,6.18,120,73,47,60.83,18.25,27,1,3,2,1,0,5,11,High,1,False,50.5,Complete at least 27 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,27,73.0,Moderate_Gap,7,30,1,Approaching_OJT,27.0,100.0
SE1800964,Good,4,7.55,120,72,48,60.0,18.0,28,0,0,0,0,0,5,2,Low,0,False,76.0,Complete at least 28 more credits.,Advanced,28,72.0,Moderate_Gap,0,100,1,Approaching_OJT,28.0,100.0
SE1800965,Good,5,8.17,120,95,25,79.17,19.0,5,0,0,1,0,0,6,3,Low,0,False,81.5,Complete at least 5 more credits. Complete all prerequisite courses.,Advanced,5,95.0,Near_Eligible,1,90,1,Approaching_OJT,5.0,100.0
SE1800966,Good,2,8.14,120,39,81,32.5,19.5,61,1,1,1,0,0,6,7,Medium,0,False,48.5,Complete at least 61 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,61,39.0,Far_From_Eligible,3,70,4,Long_Term_Planning,15.25,100.0
SE1800967,Good,7,8.37,120,114,6,95.0,16.29,0,1,2,1,0,0,8,4,Low,0,False,84.0,Complete all prerequisite courses. Retake failed courses as soon as possible.,Near_Completion,0,100.0,Eligible,4,60,1,Approaching_OJT,0.0,99.97
SE1800968,Good,5,7.63,120,97,23,80.83,19.4,3,0,2,0,0,0,6,2,Low,0,False,84.5,Complete at least 3 more credits.,Near_Completion,3,97.0,Near_Eligible,2,80,1,Approaching_OJT,3.0,100.0
SE1800969,Good,6,7.54,120,107,13,89.17,17.83,0,0,0,0,0,0,6,0,Low,0,True,93.5,You are ready for OJT.,Near_Completion,0,100.0,Eligible,0,100,0,OJT_Ready_Stage,0.0,100.0
SE1800970,Good,2,8.27,120,40,80,33.33,20.0,60,0,0,0,0,0,5,3,Low,0,False,60.0,Complete at least 60 more credits.,Developing,60,40.0,Far_From_Eligible,0,100,3,Long_Term_Planning,20.0,100.0
SE1800971,LateStarter,5,6.58,120,78,42,65.0,15.6,22,4,5,1,0,0,6,10,Medium,0,False,51.0,Complete at least 22 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,22,78.0,Moderate_Gap,10,0,1,Approaching_OJT,22.0,100.0
SE1800972,Average,5,6.16,120,84,36,70.0,16.8,16,2,2,0,0,0,6,5,Low,0,False,72.0,Complete at least 16 more credits. Retake failed courses as soon as possible.,Advanced,16,84.0,Near_Eligible,4,60,1,Approaching_OJT,16.0,100.0
SE1800973,Average,6,6.15,120,97,23,80.83,16.17,3,2,2,2,1,0,7,9,Medium,0,False,61.5,Complete at least 3 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Near_Completion,3,97.0,Near_Eligible,7,30,1,Approaching_OJT,3.0,99.98
SE1800974,AtRisk,4,5.64,120,50,70,41.67,12.5,50,4,3,1,1,0,5,14,High,1,False,36.0,Complete at least 50 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,50,50.0,Moderate_Gap,9,10,1,Approaching_OJT,50.0,100.0
SE1800975,Average,1,6.82,120,19,101,15.83,19.0,81,3,3,2,1,0,6,13,High,1,False,17.5,Complete at least 81 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Early,81,19.0,Far_From_Eligible,9,10,5,Long_Term_Planning,16.2,100.0
SE1800976,Recovery,3,5.89,120,48,72,40.0,16.0,52,1,4,0,1,0,5,11,High,1,False,48.0,Complete at least 52 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,52,48.0,Far_From_Eligible,6,40,2,Moderate_Planning_Gap,26.0,100.0
SE1800977,Good,6,8.45,120,109,11,90.83,18.17,0,0,2,1,0,0,7,3,Low,0,False,84.5,Complete all prerequisite courses.,Near_Completion,0,100.0,Eligible,3,70,1,Approaching_OJT,0.0,99.98
SE1800978,AtRisk,3,5.8,120,46,74,38.33,15.33,54,4,4,2,1,0,5,15,High,1,False,26.0,Complete at least 54 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,54,46.0,Far_From_Eligible,11,0,2,Moderate_Planning_Gap,27.0,100.0
SE1800979,Good,6,7.5,120,103,17,85.83,17.17,0,1,0,0,0,0,6,1,Low,0,True,88.5,Retake failed courses as soon as possible.,Near_Completion,0,100.0,Eligible,1,90,0,OJT_Ready_Stage,0.0,99.98
SE1800980,AtRisk,3,5.55,120,46,74,38.33,15.33,54,3,4,2,1,0,6,15,High,1,False,29.0,Complete at least 54 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,54,46.0,Far_From_Eligible,10,0,3,Long_Term_Planning,18.0,100.0
SE1800981,Excellent,3,9.92,120,54,66,45.0,18.0,46,0,0,0,0,0,6,3,Low,0,False,67.0,Complete at least 46 more credits.,Developing,46,54.0,Moderate_Gap,0,100,3,Long_Term_Planning,15.33,100.0
SE1800982,AtRisk,8,5.7,120,103,17,85.83,12.88,0,4,6,3,1,0,8,14,High,1,False,44.5,Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Near_Completion,0,100.0,Eligible,14,0,0,OJT_Ready_Stage,0.0,99.96
SE1800983,Excellent,6,9.22,120,105,15,87.5,17.5,0,0,0,0,0,0,6,0,Low,0,True,92.5,You are ready for OJT.,Near_Completion,0,100.0,Eligible,0,100,0,OJT_Ready_Stage,0.0,100.0
SE1800984,LateStarter,3,6.42,120,39,81,32.5,13.0,61,4,3,2,1,0,5,13,High,1,False,24.5,Complete at least 61 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,61,39.0,Far_From_Eligible,10,0,2,Moderate_Planning_Gap,30.5,100.0
SE1800985,Good,4,8.28,120,74,46,61.67,18.5,26,0,2,1,0,0,5,5,Low,0,False,67.0,Complete at least 26 more credits. Complete all prerequisite courses.,Advanced,26,74.0,Moderate_Gap,3,70,1,Approaching_OJT,26.0,100.0
SE1800986,LateStarter,5,7.19,120,81,39,67.5,16.2,19,2,3,1,0,0,6,7,Medium,0,False,62.5,Complete at least 19 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,19,81.0,Near_Eligible,6,40,1,Approaching_OJT,19.0,100.0
SE1800987,Average,3,6.29,120,46,74,38.33,15.33,54,2,3,1,0,0,5,9,Medium,0,False,45.0,Complete at least 54 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,54,46.0,Far_From_Eligible,6,40,2,Moderate_Planning_Gap,27.0,100.0
SE1800988,AtRisk,4,5.98,120,58,62,48.33,14.5,42,4,4,1,2,0,6,15,High,1,False,33.0,Complete at least 42 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,42,58.0,Moderate_Gap,11,0,2,Moderate_Planning_Gap,21.0,100.0
SE1800989,Critical,4,4.78,120,44,76,36.67,11.0,56,8,7,4,3,2,5,24,High,1,False,0.0,Complete at least 56 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,56,44.0,Far_From_Eligible,24,0,1,Approaching_OJT,56.0,100.0
